Cryptobranchus
Fusarium
Mycosphaerella
Pochonia
Pogona
Nannizziopsis
Armillaria
Parastagonospora
Pseudoperonospora
Phytophthora
Heterobasidion
Cochliobolus
Rhynchosporium
Aspergillus
Ascochyta
Sclerotinia
Botrytis
Cicer
Lens
Oryza
Eucalyptus
Arabidopsis
Vigna
Phaseolus
Vicia
