Oreochromis
Dicentrarchus
Pagrus
Gonostoma
Tursiops
Gadus
Danio
Acanthosentis
Oryzias
Seriola
Cyprinus
Euthynnus
Solea
Nibea
Thunnus thynnus
Argyrosomus
Thunnus
Misgurnus
Oncorhynchus
Epinephelus
Rachycentron
Clarias
Tetraodon
Proterocara
Latimeria
Oithona
Sarda
Glaucosoma
Scomberomorus
Allium
Aulopus
Plecoglossus
Anguilla
Hoplias
Poecilia
Sardinops
Cyprinus
Acanthopagrus
Mus
Rana
Chlamys
Anas
Nerita
Nodipecten
Megalobrama
Squalus
Mytilus
Scomber
Acipenser
Torpedo
Takifugu
Sparus
Morone
Lepomis
Cichlasoma
Limanda
Polyprion
Chelon
Paralichthys
Litopenaeus
Rutilus
Ictalurus
Pelteobagrus
Macrobrachium
Amphiprion
Arapaima
Huso
Sciaenops
Lutjanus
Perca
Pangasius
Latris
Scophthalmus
Macquaria
Pleuronectes
Lates
Clarias
Salmo
Pisum
Pinctada
Cristaria
Mugil
Chanos
Pangasius
Halichoeres
Salix
Coilia
Acanthosentis
Hypophthalmichthys
Cyprinus
Triturus
Scomberomorus
